,time_x,event_name,holiday,date,jalali_date
106,۱۹ دی,میلاد رسول اکرم و امام جعفر صادق علیه السلام [ ١٧ ربيع الاول ],1,2015-01-09,1393-10-19
107,۲۲ بهمن,پیروزی انقلاب اسلامی,1,2015-02-11,1393-11-22
108,۲۹ اسفند,روز ملی شدن صنعت نفت ایران,1,2015-03-20,1393-12-29
109,۱ فروردین,جشن نوروز/جشن سال نو ,1,2015-03-21,1394-01-01
110,۲ فروردین,عیدنوروز ,1,2015-03-22,1394-01-02
111,۳ فروردین,عیدنوروز ,1,2015-03-23,1394-01-03
112,۴ فروردین,عیدنوروز ,1,2015-03-24,1394-01-04
113,۴ فروردین,شهادت حضرت فاطمه زهرا سلام الله علیها [ ٣ جمادي الثانيه ],1,2015-03-24,1394-01-04
114,۱۲ فروردین,روز جمهوری اسلامی ,1,2015-04-01,1394-01-12
115,۱۳ فروردین,جشن سیزده به در,1,2015-04-02,1394-01-13
116,۱۲ اردیبهشت,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2015-05-02,1394-02-12
117,۲۶ اردیبهشت,مبعث رسول اکرم (ص) [ ٢٧ رجب ],1,2015-05-16,1394-02-26
118,۱۳ خرداد,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2015-06-03,1394-03-13
119,۱۴ خرداد,رحلت حضرت امام خمینی ,1,2015-06-04,1394-03-14
120,۱۵ خرداد,قیام 15 خرداد,1,2015-06-05,1394-03-15
121,۱۷ تیر,شهادت حضرت علی علیه السلام [ ٢١ رمضان ],1,2015-07-08,1394-04-17
122,۲۷ تیر,عید سعید فطر [ ١ شوال ],1,2015-07-18,1394-04-27
123,۲۸ تیر,تعطیل به مناسبت عید سعید فطر [ ٢ شوال ],1,2015-07-19,1394-04-28
124,۲۰ اَمرداد,شهادت امام جعفر صادق علیه السلام [ ٢٥ شوال ],1,2015-08-11,1394-05-20
125,۲ مهر,عید سعید قربان [ ١٠ ذوالحجه ],1,2015-09-24,1394-07-02
126,۱۰ مهر,عید سعید غدیر خم [ ١٨ ذوالحجه ],1,2015-10-02,1394-07-10
127,۱ آبان,تاسوعای حسینی [ ٩ محرم ],1,2015-10-23,1394-08-01
128,۲ آبان,عاشورای حسینی [ ١٠ محرم ],1,2015-10-24,1394-08-02
129,۱۱ آذر,اربعین حسینی [ ٢٠ صفر ],1,2015-12-02,1394-09-11
130,۱۹ آذر,رحلت رسول اکرم؛شهادت امام حسن مجتبی علیه السلام [ ٢٨ صفر ],1,2015-12-10,1394-09-19
131,۲۱ آذر,شهادت امام رضا علیه السلام [ ٣٠ صفر ],1,2015-12-12,1394-09-21
132,۲۹ آذر,شهادت امام حسن عسکری علیه السلام [ ٨ ربيع الاول ],1,2015-12-20,1394-09-29
133,۸ دی,میلاد رسول اکرم و امام جعفر صادق علیه السلام [ ١٧ ربيع الاول ],1,2015-12-29,1394-10-08
134,۲۲ بهمن,پیروزی انقلاب اسلامی,1,2016-02-11,1394-11-22
135,۲۳ اسفند,شهادت حضرت فاطمه زهرا سلام الله علیها [ ٣ جمادي الثانيه ],1,2016-03-13,1394-12-23
136,۲۹ اسفند,روز ملی شدن صنعت نفت ایران,1,2016-03-19,1394-12-29
137,۱ فروردین,جشن نوروز/جشن سال نو ,1,2016-03-20,1395-01-01
138,۲ فروردین,عیدنوروز ,1,2016-03-21,1395-01-02
139,۳ فروردین,عیدنوروز ,1,2016-03-22,1395-01-03
140,۴ فروردین,عیدنوروز ,1,2016-03-23,1395-01-04
141,۱۲ فروردین,روز جمهوری اسلامی ,1,2016-03-31,1395-01-12
142,۱۳ فروردین,جشن سیزده به در,1,2016-04-01,1395-01-13
143,۲ اردیبهشت,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2016-04-21,1395-02-02
144,۱۶ اردیبهشت,مبعث رسول اکرم (ص) [ ٢٧ رجب ],1,2016-05-05,1395-02-16
145,۲ خرداد,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2016-05-22,1395-03-02
146,۱۴ خرداد,رحلت حضرت امام خمینی ,1,2016-06-03,1395-03-14
